Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
boat,50,42.87973444,0.989682579,212,13000,29048,Yes,,,
boat,50,42.55626783,0.988417511,252,14000,29048,Yes,,,
boat,50,42.17962048,0.987188756,296,15000,29048,Yes,,,
boat,60,54.8665486,0.999778363,29,1000,35066,Yes,,,
boat,60,51.71931933,0.999420654,25,2000,35066,Yes,,,
boat,60,50.04979141,0.998943075,31,3000,35066,Yes,,,
boat,60,48.80719375,0.998306156,36,4000,35066,Yes,,,
boat,60,47.95818903,0.997603221,45,5000,35066,Yes,,,
boat,60,47.24170572,0.996810537,69,6000,35066,Yes,,,
boat,60,46.63444382,0.99577371,61,7000,35066,Yes,,,
boat,60,46.1463253,0.99443099,135,8000,35066,Yes,,,
boat,60,45.77553532,0.993849915,149,9000,35066,Yes,,,
boat,60,45.42697931,0.993647498,154,10000,35066,Yes,,,
boat,60,45.10497502,0.993321344,169,11000,35066,Yes,,,
boat,60,44.81985984,0.992897465,187,12000,35066,Yes,,,
boat,60,44.52834702,0.992320733,191,13000,35066,Yes,,,
boat,60,44.24202977,0.991626224,178,14000,35066,Yes,,,
boat,60,43.92667351,0.990624157,240,15000,35066,Yes,,,
boat,70,57.10442957,0.999861276,-7,1000,43636,Yes,,,
boat,70,54.19402354,0.999655164,-15,2000,43636,Yes,,,
boat,70,52.46086034,0.999351913,3,3000,43636,Yes,,,
boat,70,51.2714,0.99899793,12,4000,43636,Yes,,,
boat,70,50.36146835,0.998587444,36,5000,43636,Yes,,,
boat,70,49.59275001,0.998082669,27,6000,43636,Yes,,,
boat,70,48.95552992,0.997527022,63,7000,43636,Yes,,,
boat,70,48.45458539,0.996827693,58,8000,43636,Yes,,,
boat,70,48.06973817,0.995987008,123,9000,43636,Yes,,,
boat,70,47.73067035,0.995603053,145,10000,43636,Yes,,,
boat,70,47.43451857,0.99548887,148,11000,43636,Yes,,,
boat,70,47.14506235,0.995323267,153,12000,43636,Yes,,,
boat,70,46.88478894,0.99509588,166,13000,43636,Yes,,,
boat,70,46.64158663,0.994828659,166,14000,43636,Yes,,,
boat,70,46.41277873,0.994505352,147,15000,43636,Yes,,,
boat,80,60.08929818,0.999929139,4,1000,57659,Yes,,,
boat,80,57.27230986,0.999832613,20,2000,57659,Yes,,,
boat,80,55.62173226,0.999704487,38,3000,57659,Yes,,,
boat,80,54.39803363,0.99951983,19,4000,57659,Yes,,,
boat,80,53.44853276,0.999306029,27,5000,57659,Yes,,,
boat,80,52.65868416,0.999047007,20,6000,57659,Yes,,,
boat,80,52.00947712,0.998753202,30,7000,57659,Yes,,,
boat,80,51.46397513,0.998398035,98,8000,57659,Yes,,,
boat,80,51.00765673,0.997945302,72,9000,57659,Yes,,,
boat,80,50.63550233,0.99755994,128,10000,57659,Yes,,,
boat,80,50.31401995,0.997502306,87,11000,57659,Yes,,,
boat,80,50.02017783,0.997418979,105,12000,57659,Yes,,,
boat,80,49.73519616,0.997305963,92,13000,57659,Yes,,,
boat,80,49.45984223,0.99715259,89,14000,57659,Yes,,,
boat,80,49.19514891,0.996956949,84,15000,57659,Yes,,,
boat,90,64.40280579,0.999969679,25,1000,92866,Yes,,,
boat,90,61.59664673,0.999931352,16,2000,92866,Yes,,,
boat,90,59.79422827,0.99987153,17,3000,92866,Yes,,,
boat,90,58.5703689,0.999801645,26,4000,92866,Yes,,,
boat,90,57.62372799,0.999712276,1,5000,92866,Yes,,,
boat,90,56.80304498,0.999608016,2,6000,92866,Yes,,,
boat,90,56.13425702,0.999486718,-7,7000,92866,Yes,,,
boat,90,55.5610773,0.99936013,-24,8000,92866,Yes,,,
boat,90,55.05227275,0.999208946,23,9000,92866,Yes,,,
boat,90,54.62686341,0.999043057,13,10000,92866,Yes,,,
boat,90,54.24139376,0.998825404,0,11000,92866,Yes,,,
boat,90,54.02773564,0.998787791,3,12000,92866,Yes,,,
boat,90,53.84103148,0.998768127,39,13000,92866,Yes,,,
boat,90,53.65746755,0.998736359,-18,14000,92866,Yes,,,
boat,90,53.47397183,0.998698807,17,15000,92866,Yes,,,
lake,50,53.25252913,0.999731068,25,1000,32785,Yes,,,
lake,50,50.19688535,0.999305386,24,2000,32785,Yes,,,
lake,50,48.43439124,0.998776104,36,3000,32785,Yes,,,
lake,50,47.25394046,0.998089796,44,4000,32785,Yes,,,
lake,50,46.35073766,0.997190734,43,5000,32785,Yes,,,
lake,50,45.65606151,0.996088846,66,6000,32785,Yes,,,
lake,50,45.11871478,0.994515367,117,7000,32785,Yes,,,
lake,50,44.67987171,0.993383901,155,8000,32785,Yes,,,
lake,50,44.2493709,0.993155099,147,9000,32785,Yes,,,
lake,50,43.86661239,0.992836811,158,10000,32785,Yes,,,
lake,50,43.50457681,0.992369165,160,11000,32785,Yes,,,
lake,50,43.15380112,0.991752242,162,12000,32785,Yes,,,
lake,50,42.86759248,0.991058897,174,13000,32785,Yes,,,
lake,50,42.57703101,0.989836841,217,14000,32785,Yes,,,
lake,50,42.27485137,0.988724545,255,15000,32785,Yes,,,
lake,60,54.6924936,0.999797666,8,1000,39114,Yes,,,
lake,60,51.74136758,0.999518523,5,2000,39114,Yes,,,
lake,60,49.95423234,0.999143256,11,3000,39114,Yes,,,
lake,60,48.82127119,0.998703078,23,4000,39114,Yes,,,
lake,60,47.82428937,0.998023536,28,5000,39114,Yes,,,
lake,60,47.11166883,0.997162359,46,6000,39114,Yes,,,
lake,60,46.53483265,0.996051231,77,7000,39114,Yes,,,
lake,60,46.10783881,0.994643169,118,8000,39114,Yes,,,
lake,60,45.72823095,0.994241802,148,9000,39114,Yes,,,
lake,60,45.37483848,0.99408027,134,10000,39114,Yes,,,
lake,60,45.03571832,0.993829126,162,11000,39114,Yes,,,
lake,60,44.73061871,0.993498499,144,12000,39114,Yes,,,
lake,60,44.44958283,0.993082687,161,13000,39114,Yes,,,
