Image,Quality,Position (a),Qt val,PSNR,SSIM,FSI,Count Modified
splash,50,62,101.0,inf,1.0,18.0,0
splash,50,63,103.0,inf,1.0,18.0,0
splash,50,64,99.0,inf,1.0,18.0,0
airplane,60,2,9.0,48.19122775729837,0.9951843664280441,227.0,2775
airplane,60,3,10.0,47.128984577704045,0.9938791341907277,283.0,2969
airplane,60,4,11.0,47.47670868228817,0.9940214479325992,288.0,2302
airplane,60,5,10.0,48.49859207015891,0.9956905908984192,257.0,2150
airplane,60,6,8.0,50.03466402262742,0.9967507905506419,298.0,2149
airplane,60,7,13.0,48.15311030523304,0.9963294399066783,199.0,1447
airplane,60,8,11.0,48.65586029608583,0.9960596612197312,319.0,1769
airplane,60,9,10.0,49.351152407547445,0.9965671342476812,312.0,1786
airplane,60,10,11.0,48.58827911330505,0.9958998042611433,316.0,1801
airplane,60,11,14.0,48.50765314938775,0.997201033094434,171.0,1154
airplane,60,12,14.0,48.360719931306384,0.9969963713249664,198.0,1198
airplane,60,13,13.0,48.40198191627735,0.9966375857688652,295.0,1367
airplane,60,14,15.0,48.07950154773892,0.9967708805651454,211.0,1131
airplane,60,15,19.0,47.2202935494966,0.996950437608896,155.0,859
airplane,60,16,32.0,47.2261007585217,0.9978059492508834,70.0,313
airplane,60,17,21.0,47.55004551450318,0.9973871664683717,194.0,669
airplane,60,18,19.0,47.161597450966575,0.9969199175062462,267.0,878
airplane,60,19,18.0,48.05921439837217,0.9975263932433389,221.0,795
airplane,60,20,18.0,48.45863908675498,0.9978431187159372,213.0,724
airplane,60,21,19.0,48.04791955860101,0.9975321213775483,237.0,716
airplane,60,22,39.0,48.36505408584179,0.9978861765236143,22.0,162
airplane,60,23,29.0,49.86144630317055,0.9989961819874013,89.0,207
airplane,60,24,30.0,48.17958478147047,0.9985396278142296,154.0,287
airplane,60,25,23.0,48.02050477118186,0.9981352809228575,243.0,500
airplane,60,26,32.0,47.42108977369199,0.9982567023754367,131.0,298
airplane,60,27,46.0,50.243764983281956,0.9992396578794437,42.0,76
airplane,60,28,41.0,49.44674553105001,0.9985399234810274,78.0,114
