Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,,,
peppers,70,50.47360522,0.997637074,68,5000,53805,Yes,,,,,
peppers,70,49.8017188,0.996880037,93,6000,53805,Yes,,,,,
peppers,70,49.21290273,0.995943782,134,7000,53805,Yes,,,,,
peppers,70,48.76812923,0.995040368,196,8000,53805,Yes,,,,,
peppers,70,48.39283926,0.994651532,197,9000,53805,Yes,,,,,
peppers,70,48.04926884,0.994435468,236,10000,53805,Yes,,,,,
peppers,70,47.74459277,0.99416835,222,11000,53805,Yes,,,,,
peppers,70,47.46619019,0.993812725,217,12000,53805,Yes,,,,,
peppers,70,47.17173479,0.993291517,241,13000,53805,Yes,,,,,
peppers,70,46.91780447,0.992672192,281,14000,53805,Yes,,,,,
peppers,70,46.62352911,0.991759348,371,15000,53805,Yes,,,,,
peppers,80,60.61006579,0.999891868,28,1000,70980,Yes,,,,,
peppers,80,57.61386251,0.999723364,34,2000,70980,Yes,,,,,
peppers,80,55.81526559,0.999489435,35,3000,70980,Yes,,,,,
peppers,80,54.66115644,0.999217568,45,4000,70980,Yes,,,,,
peppers,80,53.69673876,0.998846553,53,5000,70980,Yes,,,,,
peppers,80,52.95186973,0.998457012,52,6000,70980,Yes,,,,,
peppers,80,52.32367912,0.997982106,59,7000,70980,Yes,,,,,
peppers,80,51.78864798,0.997461704,105,8000,70980,Yes,,,,,
peppers,80,51.33561778,0.996926844,139,9000,70980,Yes,,,,,
peppers,80,50.94747581,0.996761148,139,10000,70980,Yes,,,,,
peppers,80,50.59318076,0.996642473,157,11000,70980,Yes,,,,,
peppers,80,50.27085205,0.996464121,138,12000,70980,Yes,,,,,
peppers,80,49.96319142,0.996229208,164,13000,70980,Yes,,,,,
peppers,80,49.6906004,0.995945816,164,14000,70980,Yes,,,,,
peppers,80,49.43796167,0.995603607,181,15000,70980,Yes,,,,,
peppers,90,64.52818079,0.999953526,-9,1000,117591,Yes,,,,,
peppers,90,61.50417044,0.999881049,62,2000,117591,Yes,,,,,
peppers,90,59.84506641,0.999793711,24,3000,117591,Yes,,,,,
peppers,90,58.60644833,0.999684526,-12,4000,117591,Yes,,,,,
peppers,90,57.65984662,0.999551197,-18,5000,117591,Yes,,,,,
peppers,90,56.86634985,0.999395869,-61,6000,117591,Yes,,,,,
peppers,90,56.2109852,0.99922667,-49,7000,117591,Yes,,,,,
peppers,90,55.6471872,0.999027443,-15,8000,117591,Yes,,,,,
peppers,90,55.16972045,0.998820803,19,9000,117591,Yes,,,,,
peppers,90,54.73276219,0.998588095,-15,10000,117591,Yes,,,,,
peppers,90,54.37662357,0.998366268,16,11000,117591,Yes,,,,,
peppers,90,54.1960986,0.998343139,9,12000,117591,Yes,,,,,
peppers,90,54.00236884,0.998302323,10,13000,117591,Yes,,,,,
